Company,firm,year,mktcap,sharepr,bkvalue,opincome,sharesno,EPS,BVPS,tdebt,debteq,equity,avrgdebteq,dividends,div,retearnings,size,Q-ratio,EV,netprofit
NORTHAM PLATINUM,10,2017,24510280673,48.08,8092041000,613985000,509781212,1.204408844,15.87355675,11544071000,0.470988935,8092041000,0.30423488,0,0,-4398000,1,3.028936788,22986277673,-635943000
GRINDROD,11,2010,6672491413,14.35,5101461000,963663000,464981980,2.072473862,31.70133389,8280947000,1.241057723,5970715000,1.4,299608000,1,5582864000,1,1.307956958,8964461413,845075000
GRINDROD,11,2011,9082511313,15.17,8763174000,642558000,598715314,1.073227935,14.63662912,11210012000,2.24330951,9311105000,1.40082808,230115000,1,6104046000,1,1.036440828,10571954313,596724000
GRINDROD,11,2012,12353105468,20.6,9561246000,541395000,599665314,0.902828607,15.94430389,11832612000,0.957865375,10240889000,1.40082808,215472000,1,7079678000,1,1.291997452,12269061468,921813000
GRINDROD,11,2013,15679974695,26.1,11572904000,423578000,600765314,0.705064008,19.26360216,16289460000,1.038870299,12132667000,1.40082808,173870000,1,8055520000,1,1.354886785,12800363695,1262050000
GRINDROD,11,2014,13343553528,17.51,15928042000,618868000,762053314,0.81210591,20.90147987,15310539000,1.147410918,17480481000,1.40082808,170107000,1,8853554000,1,0.837739725,9482539528,1075977000
GRINDROD,11,2015,8776988644,11.51,17535741000,423418000,762553314,0.555263471,22.99608523,17316874000,1.972985804,19139891000,1.40082808,150996000,1,7174992000,1,0.500519975,3778242644,-1368573000
GRINDROD,11,2016,10904512390,14.3,14740549000,456714000,762553314,0.598927303,19.33051595,20374884000,1.868481897,15801356000,1.40082808,45211000,1,5217482000,1,0.739762976,3807734390,-1839505000
GRINDROD,11,2017,10492733601,13.76,13486573000,426137000,762553314,0.558829123,17.68607224,20751488000,1.977700835,14197482000,1.40082808,0,0,4639988000,1,0.778013332,2212428601,721153000
HULAMIN,12,2010,3373761539,10.65,4576188000,218233000,316785121,0.688899148,14.44571634,1031310000,0.305685505,4609534000,1.168490757,0,0,2575959000,0,0.737242775,4332158539,73248000
HULAMIN,12,2011,2425882213,7.65,4622126000,169945000,317108786,0.535920187,14.57583708,2849470000,1.174611852,4669625000,1.168490757,0,0,2653224000,0,0.524841212,3234591213,79676000
HULAMIN,12,2012,1682966155,5.29,4713308000,244552000,318141050,0.768690491,14.81515196,2704549000,1.607013304,4776745000,1.168490757,0,0,2663276000,0,0.357066874,2425449155,132548000
HULAMIN,12,2013,2129520842,6.67,3364717000,-1805371000,319268492,-5.654710832,10.538832,2327062000,1.092763196,3402810000,1.168490757,0,0,1412163000,0,0.63289746,2741202842,-1344959000
HULAMIN,12,2014,2735748916,8.56,3774040000,585133000,319596836,1.830847287,11.8087527,2435561000,0.890272125,3833817000,1.168490757,0,0,1968212000,0,0.724886042,3172786916,384928000
HULAMIN,12,2015,2045419750,6.4,3787600000,295480000,319596836,0.924539816,11.85118115,2802023000,1.369901214,3854517000,1.168490757,105459000,1,2032128000,0,0.54003056,2804878750,163714000
HULAMIN,12,2016,2061399592,6.45,4277602000,621514000,319596836,1.94468133,13.38436905,2609750000,1.266008788,4346688000,1.168490757,0,0,2405974000,0,0.481905421,2476378592,384933000
HULAMIN,12,2017,1572416433,4.92,4584533000,537966000,319596836,1.683264474,14.34473838,2581389000,1.641670073,4648677000,1.168490757,48507000,1,2696590000,0,0.342982902,1889643433,332232000
IMPERIAL,13,2010,23186921800,109.9,10940000000,3537000,210982000,0.016764463,51.85276469,22277000000,0.960757111,11946000000,1.092227224,653000000,1,12513000000,1,2.119462687,28626921800,2262000000
IMPERIAL,13,2011,22503150000,106.65,11193000000,4700000,211000000,0.022274882,53.04739336,23517000000,1.045053692,13016000000,1.092227224,983000000,1,12073000000,1,2.010466363,26338150000,2908000000
IMPERIAL,13,2012,39189590000,187.51,11655000000,5405000,209000000,0.025861244,55.76555024,29809000000,0.760635669,15889000000,1.092227224,1350000000,1,14361000000,1,3.362470184,46614590000,3388000000
IMPERIAL,13,2013,45745774000,218,12330000000,5751000,209843000,0.027406204,58.75821447,34180000000,0.747172843,17536000000,1.092227224,1755000000,1,15219000000,1,3.710119546,55769774000,3688000000
IMPERIAL,13,2014,35491338300,169.95,11343000000,5807000,208834000,0.027806775,54.31586811,40912000000,1.152731961,18109000000,1.092227224,1940000000,1,16229000000,1,3.128919889,48501338300,3627000000
IMPERIAL,13,2015,34472940000,170,12040000000,5205000,202782000,0.025667959,59.37410618,46497000000,1.348797056,19233000000,1.092227224,1724000000,1,18065000000,1,2.863200997,50803940000,3009000000
IMPERIAL,13,2016,34864814040,167.48,12301000000,5231000,208173000,0.025128139,59.09027588,50028000000,1.43491372,19802000000,1.092227224,1909000000,1,19366000000,1,2.834307295,51848814040,2875000000
IMPERIAL,13,2017,37733864000,187.6,10732000000,4764000,201140000,0.023684996,53.35587153,48592000000,1.287755741,20261000000,1.092227224,1688000000,1,20262000000,1,3.516014163,53047864000,2286000000
INSIMBI,14,2010,106600000,0.41,32998000,26797000,260000000,0.103065385,0.126915385,178825000,1.677532833,72936000,1.448786476,18200000,1,28598000,0,3.230498818,153819000,10642000
INSIMBI,14,2011,104000000,0.4,41311000,24581000,260000000,0.094542308,0.158888462,210339000,2.022490385,79749000,1.448786476,5200000,1,35391000,0,2.517489289,160375000,11995000
INSIMBI,14,2012,153400000,0.59,48257000,29200000,260000000,0.112307692,0.185603846,222743000,1.452040417,87863000,1.448786476,5200000,1,45826000,0,3.178813436,163098000,15634000
INSIMBI,14,2013,153400000,0.59,65280000,19394000,260000000,0.074592308,0.251076923,215376000,1.404015645,106021000,1.448786476,7586000,1,46169000,0,2.349877451,185021000,7701000
INSIMBI,14,2014,195000000,0.75,78309000,35383000,260000000,0.136088462,0.301188462,265041000,1.359184615,120463000,1.448786476,2448000,1,65061000,0,2.490135233,149534000,20310000
